star,evaluation,评价关键词,评论类型
star5,还不错，纯棉的。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,"我是给姑爷买的，因为姑爷比较胖，，178厘米，100公斤，在询问客服需要穿的尺码后下的单，买的2XL，京东小哥很给力，第二天就收到货了。姑爷试穿一下，很合适，面料舒服手感好，只是比之前买的衣服长度略长一点，好评！
面料材质：好
上身效果：不错
舒适程度：舒服
吸汗效果：不错","柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,"面料材质：柔软舒适
上身效果：贴合度非常好","柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,牌子就是牌子穿着舒服质量好款型也不错,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,"上身效果：合适
面料材质：柔软","柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,完美,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,挺好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,你的时候？在家里面没有你想要好点的事情，,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,很好，他天天穿，也不变形,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,第一次买，销量很高，所以买来试一试，希望效果不错哦,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,活动买完就下架说缺货了，然后弟弟中考一个考场三个人撞衫……笑死我了,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,相当满意。衣服很舒服。以后认准了Nike了,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,衣服很好，水洗之后也没有走形,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,质量很好是正品，物流也快，客服热情周到，衣服性价比高,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,买的号码大了，没发穿，退了。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,非常好 赶上活动价格合适 给侄子买的 高考求个好彩头,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,花这么多钱，买个短袖，洗啦两回就不能穿啦，全是折子，这还是手洗的，真让人失望,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,耐克T恤助力高考给孩子带来好运，支持京东支持耐克,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,非常好  还想在购买两件  可惜商家卖完没有了！,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,很不错的一次购物,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
